date,crop_coefficient_kc,et0_mm,crop_evapotranspiration_etc_mm,effective_precipitation_mm,net_irrigation_need_mm,quality_status
2025-05-01,0.5,4.72,2.36,0.0,2.36,PASS
2025-05-14,0.5,2.2,1.1,0.17,0.93,PASS
2025-05-23,0.5,3.51,1.75,2.34,0.0,PASS
2025-06-01,0.7,6.08,4.25,0.0,4.25,PASS
2025-07-01,0.9,6.05,5.45,0.0,5.45,PASS
2025-07-21,0.9,,,,,WARN
2025-07-22,0.9,,,,,WARN
2025-08-01,1.0,5.26,5.26,0.0,5.26,PASS
2025-09-01,0.3,4.56,1.37,0.0,1.37,PASS
2025-09-30,0.3,3.04,0.91,0.0,0.91,PASS
